Stuart Ramsay witnesses a Taliban�,Sno.,Author_ID,ID,Text,Like Count,Reply Count,Retweet Count,NewFinal,Comments
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
693,1183,288145037,1.43E+18,The 'orange man bad' brigade strangely silent here on the failure of the Biden administration to prevent a medieval religious theocracy retaking control of Afghanistan. #Afghanistan,13,3,2,E,
694,1185,7.88E+17,1.43E+18,"#SanctionPakistan
Taliban will talk peace if Ghani goes:
Khan•

no terrorist Khan showing his face•
And UN in UK Are still silence
#SanctionPakistan https://t.co/34qAh19OBh",0,1,0,E,
695,1187,42582125,1.43E+18,"How can the world just sit back and watch?

#Afghanistan 
#PrayersForAfghanistan",18,4,8,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
700,1197,1.27E+18,1.43E+18,Mjhe koi smjhae how Afghan govt which is considered a US puppet worse than taliban who know nothing else than barbarism ? Who's been funding taliban all this time ? K nahi ye Mujahideen ki imdad uper se ayi hai.,2,1,0,E,
701,1200,1.36E+18,1.43E+18,8 months into the Biden administration and the taliban has taken over Afghanistan. Biden got lost going into the White house. Kamala hasn't done anything but laugh at hard questions. Everything sucks right now.,7,1,3,E,
,,,,,,,,,
703,1202,116363549,1.43E+18,"Pakistan’s military gov’t shouldn’t have participated in the anti-PDPA counterrevolution in Afghanistan, but if you’re still blaming PAK for your problems &amp; calling for US sanctions, you are deeply unwell. Imagine wanting to starve an already poor country b/c you’re a sore loser.",87,11,13,E,
704,1204,4484501363,1.43E+18,"@ImranKhanPTI I know your a sell-out suck-up of your army. For the sake of islam which so-called teach muslims peace, stop imparting terror to Afghanistan to kill innocent men, women &amp; children of your own community.
#SanctionPakistan",0,1,0,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
710,1215,1.21E+18,1.43E+18,"If this @POTUS wasn't riddled with dementia, and his administration wasn't full of corrupt incompetents, they would go scorched earth on the Taliban and then claim this whole clusterf-ck of a withdrawal was just a ruse to draw them out of hiding.",1,1,0,E,
,,,,,,,,,
,,,,,,,,,
713,1225,2466778926,1.43E+18,The official Pakistani version of why Afghanistan is unraveling. The Americans screwed up. True. The Afghan elite messed up. True. All Pakistan's leadership wants is peace in Afghanistan. False.,215,18,68,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
720,1266,8.80E+17,1.43E+18,"Afghanistan is falling apart, spinning out of control as the Taliban continue to take over at warp speed. Meanwhile your president @JoeBiden is headed for a two week vacation. WTF OVER, you people need to pull your heads out of your ass's and open your eyes. This is unacceptable.",8,2,5,E,
721,1267,1.26E+18,1.43E+18,AFGHANISTAN AND OUR TROOPS ARE IN DANGER AND OUR PRESIDENT LEFT D.C. FOR VACATION. I SAY HE IS A COWARD. WHAT SAY YOU???,17,4,6,E,
722,1269,198848442,1.43E+18,"""We don't matter because we're from #Afghanistan. We'll die slowly in history"" she says.
Left behind, let down, again and again.. 
 https://t.co/QjBlxPNIVd",46,3,29,E,
,,,,,,,,,
724,1271,52663815,1.43E+18,It will be excellent if Taliban take over Kabul without a battle and neat withdrawal of Afghan government happens.,0,1,0,E,
,,,,,,,,,
726,1279,1.31E+18,1.43E+18,"Look, the Afghan military stood down like swing states on election night.

That should tell you everything you need to know

They want Taliban rule

Fuck 'em

Pull all American's, interpreter's+family and go full scorched earth on everything paid for by American Tax $Dollars",5,3,0,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
731,1287,1.27E+18,1.43E+18,Why is Biden on a two week vacation? When the Taliban it’s taking back everything that we gained and more. Also we left millions of dollars of war machines when we left. Now they have Us grade military war machines. My daughter is in the army. She said the army is not that sloppy,1,1,0,E,
,,,,,,,,,
733,1290,875760818,1.43E+18,"Whole world will pray price because of nons.....ense voting of americans to biden

Taliban will be dangerous now

Biden wants this only",2,3,0,E,
,,,,,,,,,
735,1293,1.35E+18,1.43E+18,"Speaking of the Taliban, it’s actually so offensive that a large swath of hyper-online “leftists” openly cheer on the Taliban (!!!???!!!?) bc “anyone, literally anyone opposed to the US is good, actually.” 

All enemies of my enemies are not my friend.",12,3,2,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
742,1303,138331342,1.43E+18,"""In view of the sudden US and allied departure at the very start of a mass Taliban offensive ... it is deeply unfair to demonise the Afghan forces for the military rout they are enduring.""

https://t.co/wmfGtqH4at",8,1,4,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
746,1316,704071464,1.43E+18,"May Allah ﷻ protect the people of Afghanistan, Syria, Palestine, Kashmir, and East Turkestan from oppression",194,4,45,E,
,,,,,,,,,
748,1318,115523751,1.43E+18,"Watching the news on #Afghanistan the last few days, I can't afford not to remember Tony Blair promising the Afghans that UK will not abandon them. Sad unfulfilled promises 20 years ago

https://t.co/8rGM0YhChX",0,1,0,E,
,,,,,,,,,
,,,,,,,,,
751,1321,1.00E+18,1.43E+18,"Dear @simoncoveney is there anything you can do at UN and international level to urge the so-callef International community to intervene in the unfolding disaster that is Afghanistan?

We are looking at a humanitarian disaster here.

Women and girls at particular risk from the",2,1,0,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
755,1329,216126606,1.43E+18,So Kandahar has been thrown to the Taliban wolves by the idiot President who had trouble undoing his fly. Kandahar was established in the time of Alexander the Great and has great cultural significance which the Taliban will destroy.,1,1,0,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
759,1337,1.34E+18,1.43E+18,"I know and this is my worry too!
+ Xi is waiting for the Talibans to take over Afghanistan entirely and then they will form an alliance Xi-Tali-Kangalistan,and I'm afraid, their first target will definitely be Bharat!
We need @narendramodi more than ever before!!!
Ganpati Bappa!! https://t.co/mszrdf0UWk",2,1,0,E,
760,1343,231384721,1.43E+18,"Not a fair comparison. The ARVN, for all its faults, made more of a stand than the Afghan security forces are currently making, from what I see. 

What’s happening seems more of an indictment of the latter than a display of Taliban prowess https://t.co/rygwQdJxuq",18,1,4,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
778,1375,4898981054,1.43E+18,"Afghanistan = PTSD TO OUR SOLDIERS.    
NEVER FORGET GET US/THEM",1,1,0,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
782,1383,47528411,1.43E+18,"Inconceivable and unconscionable that this pullout is considered somehow ""good"" for the US and the West.
Did you know that troop deaths due to accidents vastly outnumber those due to Afghanistan?!!  1/2
@JoeBiden @KamalaHarris @JustinTrudeau @HarjitSajjan

https://t.co/cC855I2Mc8",0,1,0,E,
,,,,,,,,,
784,1388,1.37E+18,1.43E+18,"Watching the gains we made over the last 20 years in #Afghanistan slip away in mere weeks has been very difficult. It’s hard to not feel as though it was all in vain.

The worst part though is knowing the evils that will likely be thrust on the Afghan people again by the taliban.",2,3,1,E,
785,1398,1.28E+18,1.42E+18,"Taliban are thugs and supported by pakistan
#SanctionPakistan https://t.co/GBumJpTmGW",0,3,0,E,
786,1406,1.29E+18,1.42E+18,Afghan children are lying dead on the streets of Afghanistan but ofc it’s nothing “new” to the world 💔🇦🇫 https://t.co/2yhNRJHnBo,217,6,73,E,
787,1409,1.18E+18,1.42E+18,"Long live Afghanistan! 🇦🇫
#الله_اکبر",724,39,79,E,
,,,,,,,,,
789,1416,30349610,1.42E+18,"Just to be clear, it's about 1000x easier to come and stay in America if you're an illegal immigrant crossing from Mexico than if you put your life on the line assisting US troops in Afghanistan. That's despicable.",0,2,0,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
796,1439,2403329017,1.43E+18,"Since the Taliban's fascist conquest, many displaced people have been fleeing to cities like Kabul.

Our comrades estimated 500 families in this camp.

However, the government is protecting the property of the rich like empty houses while refugees are surviving on the street. https://t.co/w0PQ7wRcpl",160,2,80,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
801,1457,556306180,1.43E+18,"The interview takes place in Balkh, ancient Bactra. In the 3rd cent BC, the local king Euthydemus held out here for years against Antiochus the Great.

Afghan history is world history.

Afghanistan war: Taliban back brutal rule as they strike for power https://t.co/qn8WNUqTGB",12,1,2,E,
802,1460,19613059,1.43E+18,"https://t.co/tAolNISGaL 

#Afghanistan - I am grieving. There's nothing new I can say about the situation, just that it's like watching a loved one die.
I've made this small resource -- a first step. 
https://t.co/HryN9XZy6B https://t.co/3cL8Sotvih",146,4,138,E,
803,1461,1890470448,1.43E+18,"The current government of #Afghanistan is like an instrument that rings with the wind of the #USA #India &amp; its direction is towards #Pakistan. They should find a peaceful solution to their regional issues. Stop frivolous criticism of Pakistan.
#SanctionAfghanSerpent 
#NamakHaram",0,1,0,E,
804,1467,2334888120,1.43E+18,"To all #Taliban supporters in #India
Would you give them yours daughter? https://t.co/gR44uSDUdN",0,1,0,E,
,,,,,,,,,
,,,,,,,,,
807,1472,1.27E+18,1.43E+18,"Can't find Bin Laden? Blame Pakistan! Bomb hospital using wrong coordinates? Blame Pakistan! Taliban retakes major city? Blame Pakistan! Corrupt Afghan government falls? Blame Pakistan!
Send #NamakHaram Afghan refuges back to Afghanistan #BlameGameOnPakistan #IndiaBehindAfghanWar https://t.co/AfkYHd2MJD",2,1,0,E,
,,,,,,,,,
,,,,,,,,,
810,1475,33960482,1.43E+18,"Afghanistan: No Rescue After Years of Corruption, Graft and Failure.  The Dimwits will own it. 
https://t.co/4c58FrlJ6j",2,1,1,E,
811,1479,2704645562,1.43E+18,"Millions of people in Afghanistan who deserve better (including in particular women and girls) will soon again be under the yoke of the Taliban. Whether in 6 weeks or 6 months, dark days loom. While a U.S. presence should not endure forever there, abandonment is not a strategy.",37,5,7,E,
,,,,,,,,,
,,,,,,,,,
814,1492,160244947,1.43E+18,@CNN reporting “Kabul could fall to the Taliban within 90 days.” Wonder which countries are assisting these terrorists in their bloodthirsty quest to reconquer Afghanistan.,40,12,16,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
819,1509,902434376,1.42E+18,'Bodies on the streets': Fighting brings death and destruction to Afghan cities. Afghans have never learn from past nor they will learn today &amp; tomorrow. religion had been used to destabilize Afghanistan &amp; achieve strategic objectives by powerful nations https://t.co/ohbRhaHaln,3,2,0,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
823,76,228754128,1.39E+18,"Did @ashrafghani shoot from the hip or made a calculated move to accuse #Pakistan of patronizing the #Taliban. In any case, it hasn’t served peace, coming at the heels of Pak Army chief’s visit to Kabul.",1,1,0,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
827,178,24909190,1.39E+18,"Horrific attack on Kabul school. I strongly condemn this brutal act of terrorism.

Encourage all parties to focus on building peace, security and prosperity for #Afghanistan, stop these cowardly attacks on innocent children.

https://t.co/k7XXLPmjqL #dkpol #KabulBlast",35,10,11,E,
,,,,,,,,,
,,,,,,,,,
830,205,1.26E+18,1.39E+18,"The brutal kabul admin. just for their gains and to continue the occupation of Afghanistan, raided a mosque and martyred more than 7 people. These puppets of US are no less than Israelis! https://t.co/bMbmE0QKdw",1,1,0,E,
,,,,,,,,,
,,,,,,,,,
833,281,1.25E+18,1.39E+18,"This terrorist attack on a Kabul Shia girls' school is abhorrent. With scores murdered, this unforgivable attack on children is as assault on Afghanistan’s future, which cannot stand. My deepest condolences to the students &amp; families who have suffered.
#kabulshiagenocide https://t.co/ydTtUp4y0J",470,31,184,E,
834,282,1.20E+18,1.39E+18,"Afghanistan: |flag for European Union| strongly condemns terrorist attack on civilians,including on school for girls in Dasht-e-Barchi neighbourhood of Kabul |point right| blatant and despicable violation of international humanitarian law. https://t.co/FORnOH5iAj",85,8,41,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
841,352,1.38E+18,1.41E+18,"#NationStandWithANDSF

The people of Kuhdaman took up arms against the Taliban with a clear message to support ANDSF.
Will the Taliban be able to face all these uprisings of the nation?
Believe me, this time the Taliban will be destroyed
#NationStandWithANDS https://t.co/dGwvjyWhsB",3,1,2,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
848,160,15738333,1.42E+18,"Popular Afghani comedian Nazar Mohammad, aka Khasha Zwan, was assaulted on video &amp; later killed by Taliban members. While #Taliban leaders have condemned the murder, Mohammad’s death is a clear sign to other independent voices &amp; all those who dare to speak out against Taliban. https://t.co/SvPam64G1z",17,1,10,E,
,,,,,,,,,
850,197,1.21E+18,1.42E+18,"PTM and other pushtun nationalist claiming Afghan Army victory over Taliban.
I call on Taliban to follow the footprints |footprints| of Mula Dadullah |knife|🔪|knife| . They don't deserve mercy anymore",45,5,8,E,
851,286,15896379,1.42E+18,"""NATO media is spinning it like there's no tomorrow - that the Taliban beheaded an Afghan translator.
BULLSHIT.
This is the ISIS-Khorasan m.o.
I know the Taliban - first hand. They don't behead. They SHOOT traitors - single bullet. ... ""
Pepe Escobar",1,1,0,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
856,574,7.12E+17,1.42E+18,#Gravitas | Is the Chinese military planning to enter #Afghanistan? Beijing says it wants to 'drive out terrorists' and conduct joint operations with Islamabad. Is this another recipe for disaster? @palkisu explains. https://t.co/ZUSCSANUZX,285,25,75,E,Don�t understand should we consider relevant or not?
857,602,8.47E+17,1.42E+18,"Some deeply devastating news: Afghanistan’s friends at the international community must quickly rescue individuals from Afghanistan whose lives are now under threat, as the Taliban launches revenge attacks following foreign withdrawal. ⁦@MarisePayne⁩ https://t.co/oE1CUz80bP",19,3,11,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
864,40,79667492,1.42E+18,God save the Afghan 🇦🇫 people from the devils known as the Taliban. Today they killed state official Dawa Khan Menapal. https://t.co/4tSnW2A2W7,0,1,0,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
869,315,373334462,1.43E+18,"Is it just me or is it bizarre that at the PM's press conference today when they are talking about the evolving miltary disaster in Afghanistan where 41 Australians sacrificed their lives, we had a military general to talk about vaccine rollouts &amp; not that military disaster?",65,3,9,E,
,,,,,,,,,
871,382,1.38E+18,1.43E+18,"With #Taliban  rapid advance, many women in #Afghanistan  are fleeing their homes, fearing murder, rape and forced marriage.

#prayforafghanistan  #AfghanistanBurning",32,2,0,E,
872,434,2458011600,1.43E+18,"'There is a military solution. the Taliban have won' - @TomTugendhat @SkyNews. 
BUT it wasn't force of arms that took #Taliban to #Kabul, it was abject failure of #US #UK to understand #Afghanistan &amp; win hearts &amp; minds.",5,3,0,E,
,,,,,,,,,
,,,,,,,,,
875,734,9.77E+17,1.43E+18,"We are witnessing arguably the largest and most embarrassing emergency evacuation in modern times. Over 120 aircraft, and that’s only American aircraft, are hectically trying to airlift thousands of US citizens out of a lost cause. 

#Afghanistan",36,4,12,E,
,,,,,,,,,
,,,,,,,,,
878,924,8.42E+17,1.42E+18,"Citizens of Herat, Afghanistan, celebrating the popular uprising that has proved critical to pushing the Taliban out of the historic city's outskirts - for now.

Shared videos of a cacophonous, joyous chorus rising above the city's night skyline are enough to give goosebumps. https://t.co/cBkeXBPdYp",48,3,8,E,
879,963,150958211,1.42E+18,So #B-52 bomber strikes #Afghanistan. Scums started blaming #Pakistan but they don’t have the guts to point fingers on those who bombed them for 20 years not just that they raped their women and killed their children. Then they have the audacity to talk about honour. Shit-holes,16,1,1,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
883,1275,2502895924,1.43E+18,"Surprisingly, the terrorists ignored him

UN chief @antonioguterres calls for immediate halt to Taliban offensive https://t.co/wRskHLV970",19,3,5,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
890,374,1.26E+18,1.41E+18,"Pakistan Foreign Minister Shah says no to US base https://t.co/b4Xu7dEphn
Because Pakistan has already the TERROR GROUP TALIBAN BASES in there, Even if USA have base Pakistan ISI will play its game and deceive the International community. https://t.co/02UBzHW0Zi",0,1,1,E,
891,9,1.04E+18,1.42E+18,"My name is Farman and I admit  #PakSupportsAfghanPeace 
because Peace in Afghanistan means peace in Pakistan. Peace and stability in the region is linked to lasting peace in Afghanistan
@JoinTeamISP",6,1,7,E,
,,,,,,,,,
893,561,7.48E+17,1.42E+18,"Was the US withdrawal from Afghanistan really a ruse? Was the real idea to convert the US proxi Ghani into an Indian and proxy and then, from a safe distance, bomb the hell out of all those who support the Afg Tal? We’ll know soon enough.",83,6,13,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
898,302,298137288,1.43E+18,"“In retrospect, the United States and it allies got it really wrong right from the beginning.”  Oh really? “In retrospect”?  Wasn’t it clear from the start, based on our experience in Vietnam? Looking at you, George W. Bush, Dick Cheney and Don Rumsfeld.  https://t.co/ohEGiRbRCf",4,1,0,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
906,706,54945426,1.43E+18,"A Cluster Fck Afghanistan leaving $billions of operational American equipment, Taliban has never had it so good ..",2,1,0,E,
,,,,,,,,,
908,725,1.11E+18,1.43E+18,"Please join Bharat Vichar at 9.00 PM with Dr. Saraswati Dasi @Fouziarauf4 as we discuss #Afghanistan and the impending takeover by the #Taliban which will again put shackles on women as this nation again plunges into darkness.
https://t.co/vlka7F0ppI",10,2,7,E,
909,766,1.21E+18,1.43E+18,"People are going to complain about how we left Afghanistan. People are going to complain about why we left it at all. People will point fingers at Biden. People will point fingers at Trump. No matter how you look at it, this the end of an ugly chapter in US history.",0,1,0,E,
910,1070,322157217,1.43E+18,"The great accomplishments of the US-led NATO mission in #Afghanistan become ever more crystal-clear.

Hundred billion dollars well spent.

https://t.co/6qos5fFrw3",2,1,0,E,
911,1110,702942818,1.43E+18,"Imagine the extent to which we tolerate China. 

They have invited an entire delegation of the Taliban to Beijing. 

In effect, China along with the Pak army want the Afghan Govt to fall. 

Taliban can then focus their energies on unleashing global terror. 

Shameful.",33,2,4,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
936,128,2326532184,1.40E+18,"Seven civilians killed in mortar attack in Faryab

https://t.co/sVVrL9P1Vv

#ArianaNews #afghanistan #Faryab #Taliban #mortar https://t.co/L7Z89Q0KFp",4,1,1,I,
937,145,117767974,1.40E+18,"Afghan MoI claimed ANDSF destroyed two drug factories in SOF operations in Bakwa, Farah. #Afghanistan https://t.co/9HbAnX1Cxa",2,2,0,I,
,,,,,,,,,
939,148,1.16E+18,1.40E+18,"|small orange diamond| #Taliban warns neighboring countries against hosting US troops, says it be ""great historic mistake"".

|small orange diamond| The group says they will ""not remain silent"".

|small orange diamond| Warning |warning| comes after US said they in talks with Afghan neighbors for basing US troops. 

https://t.co/8fU5PSJPJ0",1,1,1,I,
,,,,,,,,,
,,,,,,,,,
942,153,9130702,1.40E+18,"U.S. Central Command said in a statement this week that it has completed between 13-20% of the withdrawal from Afghanistan, and without any major Taliban attacks. https://t.co/9V1NKJlbX4",5,1,1,I,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
948,188,335455570,1.39E+18,Afghan Taliban declares three-day ceasefire for Eid celebration this week -spokesman https://t.co/6XKI2NzgF7 https://t.co/q6dQTEtdmG,25,3,9,I,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
953,213,168259012,1.40E+18,"Formation of Supreme State Council Nearly Complete: Sources
#Afghanistan https://t.co/kLzEDkfhyZ https://t.co/mjSLw1fYw6",9,1,1,I,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
957,232,22240612,1.40E+18,"A mortar bomb fired by the #Taliban struck a wedding ceremony in a province north of the Afghan capital, killing at least six people including women and children, officials confirm.

https://t.co/gej867pwXk",9,2,6,I,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
963,272,114718372,1.40E+18,"MFA spox #Zakharova: We call on opposing sides in #Afghanistan to reduce combat activity in the interests of country’s prosperity &amp; future of its statehood, and use the time remaining until full withdrawal of foreign troops to start talks on key issues of national reconciliation. https://t.co/aW4KOCNkjQ",23,4,7,I,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
984,354,117765295,1.40E+18,"NATO chief Jens Stoltenberg at a press conference with Estonia PM Kaja Kallas said “NATO remains committed to our partnership with #Afghanistan.” 
#Nato https://t.co/3KklvC95MI",2,1,0,I,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
988,363,117767974,1.39E+18,Hundreds of families have been forced to relocate due to recent fighting in Helmand. #Afghanistan https://t.co/J78rRNtI4z,17,3,7,I,
,,,,,,,,,
990,365,59825777,1.39E+18,"8 ANA soldier killed, 15 captured by Taliban in Baghlan https://t.co/mMb01bceYE",6,2,3,I,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1000,17,3413058154,1.41E+18,The Taliban are besieging a key Afghan city ahead of the planned exit of U.S. troops https://t.co/y7SyESMLAf,0,1,1,I,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1009,54,1.18E+18,1.41E+18,"06/30/21 #Afghanistan #Taliban @DOD @Centcom @thejointstaff: Taliban continued to smuggle military weapons and tanks through Zabul province to Pakistan. According to UN report, Pakistan-based jihadi groups such as Jaish-i-Mohammed (JeM) and Lashkar-e-Tayyiba (LeT)...(1/2)",0,1,0,I,
1010,55,7.12E+17,1.41E+18,"Top US General warns of civil war

As US forces prepare to withdraw, civilians take up arms against Taliban.

Is #Afghanistan on brink of civil war?

Full report with @SimonMarksFSN at 7pm IST

LIVE TV: https://t.co/OxEFGlw7aN https://t.co/h0waTAWO0e",10,1,4,I,
1011,61,148845723,1.41E+18,Most European troops exit Afghanistan quietly after 20 years https://t.co/Ad9BE7pFmv https://t.co/RX2OJtXL9m,9,2,9,I,
,,,,,,,,,
,,,,,,,,,
1014,75,18071358,1.41E+18,"Indian nationals face a ""serious threat"" of abduction: Indian embassy in Afghanistan issues warning

https://t.co/RfYx9uyE1o",37,2,2,I,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1018,80,44389414,1.41E+18,The last US troops are packing up and leaving Bagram Airfield in Afghanistan  https://t.co/eyMmRoC0hg,0,1,1,I,
,,,,,,,,,
1020,92,1.03E+18,1.40E+18,Ibrahim Khel base in Zurmat district of #Paktia province captured and 42 soldiers surrendered to Taliban https://t.co/6hsR4jbBnq,50,1,5,I,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1030,116,13218102,1.41E+18,Emboldened Taliban militants are advancing across Afghanistan as the Biden Administration continues its plan to withdraw all U.S. troops. https://t.co/Cu8cpJu3bn via @WSJOpinion,24,66,6,I,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1044,155,1.03E+18,1.40E+18,"Video report from #Ghazni province. A important base captured by #Taliban , 38 soldiers surrender 40 tanks , rangers , weapons and ammunition siezed https://t.co/HvOTjE5KNE",25,1,6,I,
1045,157,162171805,1.40E+18,"#AFG Rural Afghanistan is on fire. A district bazaar , GhoarGhoaray Bazzar in Khash Road, Nimroz on fire. Afghanistan demands a comprehensive and permanent ceasefire. https://t.co/GKVGyhZZu7",45,5,18,I,
,,,,,,,,,
1047,165,14942880,1.41E+18,"“Absolutely not,” Imran Khan on whether to allow the CIA to conduct operations into Afghanistan from Pakistan after troop withdrawals. https://t.co/4RrRR8g38n #axiosam",0,1,0,I,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1055,202,2326532184,1.40E+18,"Three people assassinated in Kabul 

https://t.co/4wKnNYAdUc

#ArianaNews #Afghanistan #Kabul #assassination #Bagrami https://t.co/bibQbLeVeO",5,1,0,I,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1062,225,1.36E+18,1.41E+18,"The Taliban appeared to be walking away from peace talks with the Afghan government — until, at the end of May, they suddenly agreed to a proposed meeting in Istanbul.
https://t.co/QZGb7nxZNo",3,1,1,I,
,,,,,,,,,
,,,,,,,,,
1065,238,7.56E+17,1.40E+18,"DoD, 06/10/21 : MD Helicopter Inc. Mesa, Arizona, was awarded a $29,448,286 modification (P00046) to contract W58RGZ-17-C-0038 to provide maintenance capabilities in support of the Afghan Air Force. Work will be performed in Mesa, Arizona; Kabul, Afghanistan; and Al Ain...",0,1,1,I,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1069,255,34262462,1.40E+18,"Largest US military base in Afghanistan to be handed over to Afghan forces, reports suggest https://t.co/erBHTHqyRP",19,2,5,I,
,,,,,,,,,
,,,,,,,,,
1072,264,1.09E+18,1.40E+18,Taliban have now the American military vehicles captured from the forces of Kabul regime. https://t.co/SJy9BL1iw3,13,1,0,I,
,,,,,,,,,
,,,,,,,,,
1075,275,168259012,1.40E+18,"Taliban Control Key Dam in Kandahar, Farmers Plead for Water
#Afghanistan https://t.co/E8gnzeCeWw https://t.co/n5joX3VJ9U",52,2,6,I,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1082,299,63411616,1.40E+18,"US President Joe Biden's announcement that all US military forces will be out of Afghanistan by Sept. 11, 2021 has made precarious the stay of numerous Filipino workers in that Central Asian country.
https://t.co/hfCfD1xaKF

#TheManilaTimes",0,1,0,I,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1086,315,22240612,1.41E+18,"About 5,000 Afghan families have fled their homes in #Kunduz after days of fighting between the #Taliban and government forces, officials say, with the insurgents continuing to surround the key northern city.

https://t.co/twVeGYkJRl",3,1,12,I,
,,,,,,,,,
